AccountNumber,TotalActivityCount_SUM,
ACCT0004034,401,
ACCT0004040,260,
ACCT0004045,271,
ACCT0004046,398,
ACCT0004047,8,
ACCT0004048,117,
ACCT0004049,59,
ACCT0004050,43,
ACCT0004064,1,
ACCT0004066,60,
ACCT0004080,754,
ACCT0004083,151,
ACCT0004084,123,
ACCT0004109,142,
ACCT0004125,343,
ACCT0004129,7,
ACCT0004149,108,
ACCT0004159,72,
ACCT0004187,145,
ACCT0004193,19,
ACCT0004196,235,
ACCT0004231,61,
ACCT0004236,55,
ACCT0004240,96,
ACCT0004249,360,
ACCT0004250,4,
ACCT0004251,316,
ACCT0004253,93,
ACCT0004265,397,
ACCT0004278,126,
ACCT0004282,313,
ACCT0004284,172,
ACCT0004286,224,
ACCT0004294,68,
ACCT0004300,1,
ACCT0004305,122,
ACCT0004306,6,
ACCT0004307,85,
ACCT0004308,4,
ACCT0004315,214,
ACCT0004321,171,
ACCT0004330,31,
ACCT0004333,23,
ACCT0004337,36,
ACCT0004338,133,
ACCT0004341,320,
ACCT0004354,393,
ACCT0004358,10,
ACCT0004362,145,
ACCT0004363,295,
ACCT0004370,181,
ACCT0004375,22,
ACCT0004379,251,
ACCT0004391,139,
ACCT0004393,23,
ACCT0004395,125,
ACCT0004401,8,
ACCT0004409,9,
ACCT0004412,199,
ACCT0004416,1,
ACCT0004428,310,
ACCT0004452,133,
ACCT0004453,24,
ACCT0004457,1,
ACCT0004458,101,
ACCT0004461,1,
ACCT0004464,143,
ACCT0004469,139,
ACCT0004471,60,
ACCT0004482,6,
ACCT0004487,407,
ACCT0004503,218,
ACCT0004523,241,
ACCT0004525,14,
ACCT0004533,208,
ACCT0004535,64,
ACCT0004550,128,
ACCT0004565,66,
ACCT0004568,123,
ACCT0004574,131,
ACCT0004581,2,
ACCT0004584,78,
ACCT0004586,276,
ACCT0004600,102,
ACCT0004618,76,
ACCT0004632,1,
ACCT0004633,18,
ACCT0004664,15,
ACCT0004670,726,
ACCT0004684,38,
ACCT0004686,188,
ACCT0004687,9,
ACCT0004699,1,
ACCT0004707,276,
ACCT0004726,138,
ACCT0004735,192,
ACCT0004744,34,
ACCT0004748,58,
ACCT0004751,52,
ACCT0004753,18,
ACCT0004754,92,
ACCT0004755,31,
ACCT0004756,9,
ACCT0004769,7,
ACCT0004772,64,
ACCT0004781,3,
ACCT0004803,249,
ACCT0004826,391,
ACCT0004838,18,
ACCT0004855,15,
ACCT0004866,330,
ACCT0004868,8,
ACCT0004870,63,
ACCT0004879,6,
ACCT0004892,786,
ACCT0004897,94,
ACCT0004901,81,
ACCT0004902,71,
ACCT0004905,17,
ACCT0004906,74,
ACCT0004908,725,
ACCT0004909,73,
ACCT0004911,293,
ACCT0004913,4,
ACCT0004916,23,
ACCT0004919,53,
ACCT0004936,278,
ACCT0004940,70,
ACCT0004941,143,
ACCT0004944,93,
ACCT0004957,"1,619",
ACCT0004960,168,
ACCT0004962,272,
ACCT0004969,116,
ACCT0004976,157,
ACCT0004990,109,
ACCT0005017,70,
ACCT0005021,43,
ACCT0005029,106,
ACCT0005041,18,
ACCT0005044,21,
ACCT0005053,88,
ACCT0005058,88,
ACCT0005065,62,
ACCT0005071,97,
ACCT0005083,41,
ACCT0005087,530,
ACCT0005097,148,
ACCT0005098,34,
ACCT0005102,826,
ACCT0005108,9,
ACCT0005111,69,
ACCT0005114,61,
ACCT0005116,782,
ACCT0005124,22,
ACCT0005141,1,
ACCT0005144,440,
ACCT0005146,19,
ACCT0005148,666,
ACCT0005154,207,
ACCT0005164,13,
ACCT0005165,118,
ACCT0005170,5,
